LDGS_NM,LDGS_ADDR,LDGS_ROAD_NM_ADDR,GSRM_SCALE_CN,LDGS_GRAD_VALUE,LDGMNT_TY_NM,LDGS_AVRG_PRC,LDGS_MIN_PRC,LDGS_MXMM_PRC,LDGS_AVRG_SCORE_CO,위도,경도
롯데리조트 속초,강원,강원 속초시 대포항길 186,200개 이상,4성,관광호텔업,449119,283500,685000,9,38.1806565090296,128.613082369513
롯데시티호텔대전,대전,대전 유성구 엑스포로123번길 33,200개 이상,4성,관광호텔업,194981,130620,440000,9,36.3761915083194,127.393027449497
롯데호텔 울산,,울산광역시 남구 삼산로 282 (삼산동),200개 이하,5성,관광호텔업,243193,152378,435600,9,35.5386361445316,129.338055247345
롯데호텔 제주,제주,제주특별자치도 제주시 도령로 83,200개 이상,성급없음,관광호텔,516498,302548,997040,9,33.4906745183081,126.486508649461
리솜아일랜드,충남,충남 태안군 안면읍 꽃지해안로 204 ,100개 이하,성급없음,휴양콘도미니엄업,393926,248370,518100,7,36.4901153255575,126.336651806813
메이힐스리조트,강원,강원도 정선군 고한읍 물한리길 8,200개 이상,성급없음,휴양콘도미니엄업,135547,73500,295000,9,37.2114956908133,128.835251282334
메종글래드제주,제주,제주특별자치도 제주시 노연로 80,200개 이상,성급없음,관광호텔,244219,115000,999394,9,33.4856033240627,126.488905281133
베네치아관광호텔,전남,전남 순천시 팔마2길 13,100개 이하,2성,관광호텔업,167232,99000,294118,9,34.9336215678474,127.518937566904
베스트웨스턴 해운대 호텔,부산,부산 해운대구 구남로 42,200개 이하,성급없음,일반호텔,174404,70432,400000,9,35.1604451759281,129.161137451035
비체팰리스,충남,충남 보령시 웅천읍 열린바다1길 78,200개 이상,성급없음,휴양콘도미니엄업,217619,144250,294000,9,36.2392238243778,126.531305482571
서울신라호텔,서울,서울 중구 동호로 249,200개 이상,5성,관광호텔업,672996,413600,995500,9,37.5575055053737,127.007952910656
세인트 존스 호텔,강원,강원 강릉시 창해로 307,200개 이상,성급없음,일반호텔,363176,159000,992750,9,37.7912800221661,128.920931923657
센텀 프리미어 호텔,부산,부산 해운대구 센텀1로 17,200개 이상,성급없음,일반호텔,198252,71280,528000,9,35.1669244792266,129.13158496276
소노 펠리체 델피노,강원,강원 고성군 토성면 미시령옛길 1153,100개 이하,성급없음,관광호텔,518369,360000,705000,9,38.2131162786595,128.493440366843
소노문 단양,충북,충북 단양군 단양읍 삼봉로 187-17,0,성급없음,미분류,223318,98113,416000,8,36.9774553515269,128.361942975124
소노벨 경주,경북,경북 경주시 보문로 402-12,200개 이상,성급없음,휴양콘도미니엄업,289350,129000,445000,9,35.8467736439108,129.281828905565
소노벨 변산,전북,전북 부안군 변산면 변산해변로 51,200개 이상,4성,가족호텔업,273270,135000,465000,9,35.6321196592007,126.470467867168
