,식당이름,카테고리,별점,리뷰 수,웹사이트,주소,지역명,위도,경도
3816,동북화과왕,restaurant,3.9,110,https://place.map.kakao.com/7838808,서울 종로구 종로46길 11 2층(지번) 창신동 463-1,서울,37.571029137167,127.010869169423
3817,목포집 본점,restaurant,3.6,155,https://place.map.kakao.com/26314261,서울 강남구 강남대로152길 24(지번) 신사동 514-3,서울,37.517488783,127.021413312725
3818,락희옥 마포본점,restaurant,4.4,258,https://place.map.kakao.com/26843634,서울 마포구 백범로 170 공덕더샵아파트 101동 1층 1호(지번) 공덕동 478,서울,37.5442689460504,126.949280900696
3819,홍대최대포,restaurant,4.2,36,https://place.map.kakao.com/17590787,서울 마포구 양화로19길 10(지번) 동교동 154-17,서울,37.5581479210376,126.924358766906
3832,화기애애 본점,restaurant,4.2,1573,https://place.map.kakao.com/22651193,서울 광진구 아차산로31길 16 1층(지번) 화양동 8-37,서울,37.5417668601098,127.06965474677
3833,남매집,restaurant,3.6,91,https://place.map.kakao.com/17149624,서울 중구 남대문로1길 41 1-2층(지번) 북창동 19-1,서울,37.562864059901045,126.9772363179766
3834,아르무아,cafe,3.8,314,https://place.map.kakao.com/61909173,서울 광진구 동일로22길 117-27 1-2층(지번) 화양동 5-32,서울,37.5417671865681,127.07092273573
3835,놀란치킨 선릉역점,restaurant,4.7,25,https://place.map.kakao.com/24245396,서울 강남구 테헤란로64길 9(지번) 대치동 890-49,서울,37.5044954460598,127.051585189734
3836,이고집쭈꾸미 사당직영점,restaurant,3.7,56,https://place.map.kakao.com/19093422,서울 서초구 방배천로2길 39-14(지번) 방배동 448-3,서울,37.4773790143243,126.984845246105
3837,마루심 반포점,restaurant,4.4,292,https://place.map.kakao.com/13582855,서울 서초구 고무래로10길 10 청구빌딩 1층(지번) 반포동 54-10,서울,37.5019008082159,127.010461168238
3838,오만지아,restaurant,4.2,230,https://place.map.kakao.com/365405863,서울 용산구 유엔빌리지길 14(지번) 한남동 274-13,서울,37.533972347996,127.009830247058
3839,정선부뚜막,restaurant,3.5,141,https://place.map.kakao.com/1854321980,서울 성동구 서울숲6길 14 1층(지번) 성수동1가 668-13,서울,37.5475239707245,127.043039345121
3840,문래그집,restaurant,4.4,286,https://place.map.kakao.com/1143564293,서울 영등포구 선유로22길 3 유선빌딩 1층 102호(지번) 양평동1가 9-37,서울,37.5216044475009,126.890355512473
3850,광주육전,restaurant,3.7,194,https://place.map.kakao.com/832441144,서울 강남구 학동로4길 45 1층(지번) 논현동 162,서울,37.5085364751393,127.024314888005
3851,도화곱창,restaurant,4.0,1956,https://place.map.kakao.com/919683164,서울 마포구 새창로2길 13 1층(지번) 도화동 179-7,서울,37.5413372543439,126.949445372971
3852,고궁의아침,restaurant,3.6,407,https://place.map.kakao.com/7826114,서울 종로구 창경궁로 158 1층(지번) 원남동 118-1,서울,37.5764587371697,126.997570843872
3853,스파카나폴리,restaurant,4.3,447,https://place.map.kakao.com/16050660,서울 마포구 양화로6길 28 2층(지번) 합정동 413-2,서울,37.5489058685651,126.915615367873
3854,미스터리브루잉컴퍼니,restaurant,4.1,199,https://place.map.kakao.com/668594192,서울 마포구 독막로 311 재화스퀘어 1층 101호(지번) 염리동 168-9,서울,37.5439986689042,126.947477716019
3855,메밀집,restaurant,4.7,958,https://place.map.kakao.com/756146413,서울 송파구 백제고분로45길 36 1층(지번) 송파동 57-6,서울,37.5107907536121,127.107821123063
3856,조수사,restaurant,4.3,10,https://place.map.kakao.com/10800261,서울 강남구 테헤란로14길 6 1층(지번) 역삼동 823-24,서울,37.4989966363357,127.032848249971
3857,소담촌 사당직영점,restaurant,4.3,225,https://place.map.kakao.com/2005573719,서울 동작구 동작대로 43 5층(지번) 사당동 1030-20,서울,37.4804179959561,126.981456221124
3858,국민회관,restaurant,3.9,321,https://place.map.kakao.com/221927024,서울 중구 만리재로 209-2 1층 1호(지번) 만리동1가 34,서울,37.5562250224171,126.968105718836
3859,더차이홍 삼성점,restaurant,4.1,9,https://place.map.kakao.com/1485180110,서울 강남구 삼성로92길 23 경진빌딩 2층(지번) 삼성동 158-7,서울,37.5082326974566,127.058234428148
3860,아오이토리,cafe,4.0,614,https://place.map.kakao.com/24504952,서울 마포구 와우산로29길 8 KC빌딩 1층(지번) 서교동 327-17,서울,37.5547753182732,126.929469982132
3861,이자카야나무 대치점,restaurant,4.4,228,https://place.map.kakao.com/15500067,서울 강남구 선릉로86길 37 덕우빌딩 지하1층(지번) 대치동 890-45,서울,37.5041125803872,127.052670646106
3862,만두전빵,restaurant,4.0,299,https://place.map.kakao.com/15831022,서울 성동구 행당로15길 2-1 1층(지번) 행당동 317-72,서울,37.5583389368454,127.031914648739
3863,크라이치즈버거 양재역점,restaurant,4.7,206,https://place.map.kakao.com/539250139,서울 서초구 강남대로41길 8 1층(지번) 서초동 1358-8,서울,37.4872741567552,127.031921705585
3864,식신매운갈비찜,restaurant,4.3,246,https://place.map.kakao.com/21541594,"서울 마포구 월드컵북로5길 68 광남벨라스2차아파트상가 1층 104,105호(지번) 서교동 458-22",서울,37.5561056666792,126.915132709906
3865,옛날농장,restaurant,3.9,65,https://place.map.kakao.com/16906836,서울 강남구 테헤란로33길 11 1층(지번) 역삼동 678-17,서울,37.5024974437584,127.039219315988
3866,복성각 마포본점,restaurant,3.8,119,https://place.map.kakao.com/18767256,서울 마포구 마포대로 63-8 삼창프라자 지하 1층(지번) 도화동 173,서울,37.5422597994869,126.947815114643
3867,광장시장통큰누이네육회빈대떡,restaurant,4.4,385,https://place.map.kakao.com/614661957,서울 종로구 동호로 403-24 1-2층(지번) 종로5가 138-25,서울,37.5704471381878,127.001176899347
3868,72420 사당본점,restaurant,4.3,274,https://place.map.kakao.com/1614511509,서울 동작구 동작대로1길 50 중동빌딩 1층(지번) 사당동 1039-16,서울,37.4774191421481,126.978643347842
3869,커피루소 정동점,cafe,4.1,404,https://place.map.kakao.com/253560122,서울 중구 정동길 17 이화정동빌딩 1-2층(지번) 정동 17-4,서울,37.567161887661,126.970642082697
3870,해물포차꼴통 1호점,restaurant,3.5,253,https://place.map.kakao.com/1691882496,서울 동작구 장승배기로 126(지번) 노량진동 231-170,서울,37.508669248678,126.940349978847
3871,갓잇 송리단길점,restaurant,4.2,1246,https://place.map.kakao.com/1807739168,"서울 송파구 오금로16길 20 1,2층(지번) 송파동 37-6",서울,37.5099512873462,127.107920578637
3872,더쌍화,cafe,4.5,396,https://place.map.kakao.com/308983214,서울 종로구 종로 252-16 1층(지번) 종로5가 265-18,서울,37.5705935966923,127.005735089176
3873,도마 중림점,restaurant,4.1,276,https://place.map.kakao.com/302317049,서울 중구 중림로 31 1층(지번) 중림동 150-1,서울,37.5582942473361,126.967100385147
3874,이품,restaurant,3.5,174,https://place.map.kakao.com/9348308,서울 서대문구 연희로11길 20 1층(지번) 연희동 132-19,서울,37.5675446845976,126.930062500433
3875,옥된장 양재점,restaurant,4.5,1308,https://place.map.kakao.com/258034127,서울 서초구 서운로6길 29 1층(지번) 서초동 1359-13,서울,37.4857728669999,127.03101946123
3876,함평집 서울시청점,restaurant,4.4,1475,https://place.map.kakao.com/539736434,서울 중구 세종대로11길 42 1층(지번) 서소문동 120-14,서울,37.5622689194798,126.973618356541
3877,미국식 방배본점,restaurant,4.2,351,https://place.map.kakao.com/1233735165,서울 서초구 서초대로29길 17-2 서전1 1층(지번) 방배동 877-24,서울,37.4891445357677,126.99511421776
3878,그녀의밥상,restaurant,4.0,122,https://place.map.kakao.com/27282036,서울 마포구 와우산로21길 36-4 지하1층(지번) 서교동 358-68,서울,37.5525515733,126.922031332132
3879,아노브 이태원본점,restaurant,4.3,38,https://place.map.kakao.com/26781910,서울 용산구 이태원로20가길 7-5 1층(지번) 이태원동 74-34,서울,37.5337247389211,126.992424902392
3880,합정옥,restaurant,3.6,220,https://place.map.kakao.com/27493864,서울 마포구 양화로1길 21 2층(지번) 합정동 392-3,서울,37.5495946668227,126.910456894059
3881,어머니대성집,restaurant,3.5,715,https://place.map.kakao.com/907979960,서울 동대문구 왕산로11길 4 1층(지번) 용두동 232-26,서울,37.5774742408426,127.028564198078
3882,소울브레드,cafe,4.2,120,https://place.map.kakao.com/27301277,서울 서초구 바우뫼로7길 27(지번) 우면동 59,서울,37.4712654713833,127.024370524719
3883,샤블리,restaurant,4.0,309,https://place.map.kakao.com/7781842,서울 강남구 강남대로152길 35 2층(지번) 신사동 515-9,서울,37.5180860928953,127.022201116436
3884,서관면옥 교대본점,restaurant,4.0,525,https://place.map.kakao.com/34321780,서울 서초구 서초대로56길 11 1층(지번) 서초동 1675-5,서울,37.4939907944744,127.017269436895
3885,미미면가 본점,restaurant,3.6,583,https://place.map.kakao.com/18324313,서울 강남구 강남대로160길 29 1층(지번) 신사동 521-16,서울,37.5200722857427,127.021101274455
3886,아방궁,restaurant,3.6,118,https://place.map.kakao.com/25550206,서울 강남구 역삼로1길 18 2층(지번) 역삼동 831-32,서울,37.4944331830952,127.030631216226
3887,리에또,restaurant,3.8,509,https://place.map.kakao.com/27311683,서울 서초구 방배천로4안길 20 2층(지번) 방배동 451-36,서울,37.4790089234655,126.983379007197
3888,이빠네마그릴 홍대점,restaurant,4.1,225,https://place.map.kakao.com/899602257,서울 마포구 홍익로 7 소망빌딩 지하1층(지번) 서교동 358-15,서울,37.5532482841278,126.923499439833
3889,마초갈비 선릉역점,restaurant,3.9,129,https://place.map.kakao.com/163803143,서울 강남구 선릉로93길 11 1층(지번) 역삼동 705-14,서울,37.5051452818563,127.047426933421
