Name,Category,Score,Review_Num,Link,Addr,ADDR_area
큰댁한정식,restaurant,3.8,69,https://place.map.kakao.com/8099965,충남 천안시 서북구 성정중4길 30(지번) 성정동 1254,충청
다원맛집,restaurant,4.3,56,https://place.map.kakao.com/1629306287,충남 태안군 남면 천수만로 134-4(지번) 남면 당암리 622-1,충청
봄담아 당진점,restaurant,4.0,315,https://place.map.kakao.com/489951721,충남 당진시 대덕1로 125-132 1층(지번) 대덕동 1824,충청
하오하오,restaurant,3.9,227,https://place.map.kakao.com/1089295621,충남 천안시 서북구 불당16길 29 삼성빌 1층(지번) 불당동 1367,충청
돈백석,restaurant,4.0,106,https://place.map.kakao.com/25548444,충남 천안시 서북구 성정공원2길 14 1층 102호(지번) 성정동 1419,충청
팔보돌솥,restaurant,4.6,93,https://place.map.kakao.com/14103981,충남 천안시 동남구 신부2길 8(지번) 신부동 475-1,충청
쌍용동시골집,restaurant,3.8,114,https://place.map.kakao.com/418211593,충남 천안시 서북구 서부대로 319-2(지번) 쌍용동 191-21,충청
153갈비마을,restaurant,4.1,163,https://place.map.kakao.com/9402048,충남 아산시 남산로 55 1층(지번) 온천동 200-34,충청
추억의꽁당보리밥 아산점,restaurant,4.6,182,https://place.map.kakao.com/27573224,충남 아산시 온주길16번길 14 1층(지번) 읍내동 290-9,충청
이내,cafe,4.6,313,https://place.map.kakao.com/677472489,충남 아산시 배방읍 배방로13번길 19-6 1층(지번) 배방읍 공수리 1611,충청
천안밀면,restaurant,3.6,204,https://place.map.kakao.com/616170174,충남 천안시 서북구 월봉7길 50(지번) 쌍용동 1662,충청
백화산가든한식뷔페 태안점,restaurant,3.7,39,https://place.map.kakao.com/13301627,충남 태안군 태안읍 중앙로 333 2층(지번) 태안읍 평천리 679-1,충청
피양옥 신불당점,restaurant,3.9,57,https://place.map.kakao.com/1215258389,충남 천안시 서북구 불당25로 176(지번) 불당동 1534,충청
청남가든,restaurant,4.8,208,https://place.map.kakao.com/9970939,충남 공주시 사곡면 운정길 78(지번) 사곡면 운암리 576-1,충청
해미우시장,restaurant,4.5,218,https://place.map.kakao.com/25101596,충남 서산시 해미면 읍성마을3길 22 1층(지번) 해미면 읍내리 221-56,충청
술타령,restaurant,5.0,14,https://place.map.kakao.com/22651123,충남 천안시 서북구 두정로 227 1층(지번) 두정동 1505,충청
피탕김탕 본점,restaurant,3.8,777,https://place.map.kakao.com/22366091,충남 공주시 한적2길 47-5 1층(지번) 금흥동 616-5,충청
오월의숲,cafe,4.3,58,https://place.map.kakao.com/2026740246,충남 천안시 서북구 세관길 78(지번) 성정동 361,충청
지산흑돈,restaurant,4.8,14,https://place.map.kakao.com/26937423,충남 아산시 남부로 292(지번) 용화동 4-1,충청
택이네조개전골 배방점,restaurant,3.8,83,https://place.map.kakao.com/1630034450,충남 아산시 배방읍 배방로13번길 28-10 1층(지번) 배방읍 공수리 1652,충청
홍콩반점,restaurant,3.5,32,https://place.map.kakao.com/9634915,충남 아산시 온천대로 1507(지번) 온천동 86-25,충청
카페벌곡,cafe,4.3,508,https://place.map.kakao.com/1497771906,충남 논산시 벌곡면 수락로 877 1층(지번) 벌곡면 사정리 462,충청
백화산가든한식뷔페 태안점,restaurant,3.7,39,https://place.map.kakao.com/13301627,충남 태안군 태안읍 중앙로 333 2층(지번) 태안읍 평천리 679-1,충청
피양옥 신불당점,restaurant,3.9,57,https://place.map.kakao.com/1215258389,충남 천안시 서북구 불당25로 176(지번) 불당동 1534,충청
청남가든,restaurant,4.8,208,https://place.map.kakao.com/9970939,충남 공주시 사곡면 운정길 78(지번) 사곡면 운암리 576-1,충청
해미우시장,restaurant,4.5,218,https://place.map.kakao.com/25101596,충남 서산시 해미면 읍성마을3길 22 1층(지번) 해미면 읍내리 221-56,충청
술타령,restaurant,5.0,14,https://place.map.kakao.com/22651123,충남 천안시 서북구 두정로 227 1층(지번) 두정동 1505,충청
피탕김탕 본점,restaurant,3.8,777,https://place.map.kakao.com/22366091,충남 공주시 한적2길 47-5 1층(지번) 금흥동 616-5,충청
오월의숲,cafe,4.3,58,https://place.map.kakao.com/2026740246,충남 천안시 서북구 세관길 78(지번) 성정동 361,충청
지산흑돈,restaurant,4.8,14,https://place.map.kakao.com/26937423,충남 아산시 남부로 292(지번) 용화동 4-1,충청
택이네조개전골 배방점,restaurant,3.8,83,https://place.map.kakao.com/1630034450,충남 아산시 배방읍 배방로13번길 28-10 1층(지번) 배방읍 공수리 1652,충청
홍콩반점,restaurant,3.5,32,https://place.map.kakao.com/9634915,충남 아산시 온천대로 1507(지번) 온천동 86-25,충청
카페벌곡,cafe,4.3,508,https://place.map.kakao.com/1497771906,충남 논산시 벌곡면 수락로 877 1층(지번) 벌곡면 사정리 462,충청
천안옛날 호두과자 천안역점,cafe,3.6,238,https://place.map.kakao.com/8153178,충남 천안시 동남구 대흥로 237-1(지번) 대흥동 57-2,충청
라프커피,cafe,4.3,2,https://place.map.kakao.com/776420183,"충남 아산시 신정로 536-1 1,2층(지번) 방축동 555-4",충청
